2 0 327954

2 1 122056

2 2 44956

2 3 11990

2 4 17060

2 5 3284

2 6 63112

2 7 33156

2 8 34733

2 9 18341

2 10 16474

2 11 10087

2 12 66364

2 13 78116

2 14 74227

2 15 6663

2 16 165451

2 17 64004

2 18 44121

2 19 22807

2 20 88427

2 21 52493

2 22 73337

2 23 46757

2 24 5445

2 25 18414

2 26 82815

2 27 46945

2 28 63916

2 29 54793

2 30 48548

2 31 37018

2 32 19946

2 33 6735

2 34 21165

2 35 160574

2 36 35093

2 37 11169

2 38 107109

2 39 18075

2 40 8364

2 41 258

2 42 105348

2 43 52927

2 44 82913

2 45 34055

2 46 183532

2 47 17659

2 48 11398

2 49 32919

2 50 89275

2 51 63817

2 52 167679

2 53 11307

2 54 14483

2 55 35450

2 56 49200

2 57 55513

2 58 5259

2 59 38621

2 60 207785

2 61 11373

2 62 1496

2 63 40358

2 64 116949

2 65 89354

2 66 4041

2 67 20188

2 68 36661

2 69 25649

2 70 72533

2 71 41874

2 72 53428

2 73 18010

2 74 22314

2 75 43501

2 76 3464

2 77 40991

2 78 20112

2 79 14151

2 80 5216

2 81 37516

2 82 46574

2 83 14469

2 84 11533

2 85 86448

2 86 34545

2 87 36035

2 88 110163

2 89 5551

2 90 63774

2 91 38112

2 92 18296

2 93 152039

2 94 90827

2 95 16010

2 96 40178

2 97 99950

2 98 32691

2 99 51910

3 0 2698

3 1 57346

3 2 25348

3 3 10218

3 4 35898

3 5 82621

3 6 27017

3 7 3616

3 8 20644

3 9 938

3 10 7535

3 11 7120

3 12 54602

3 13 1949

3 14 86596

3 15 21385

3 16 1092

3 17 48117

3 18 12205

3 19 49409

3 20 4621

3 21 47458

3 22 52713

3 23 46609

3 24 929

3 25 7144

3 26 15190

3 27 2084

3 28 13828

3 29 11616

3 30 7905

3 31 15257

3 32 4612

3 33 12428

3 34 12395

3 35 22500

3 36 16071

3 37 66614

3 38 68729

3 39 7847

3 40 69060

3 41 5917

3 42 4558

3 43 570

3 44 72648

3 45 4768

3 46 906

3 47 21869

3 48 13504

3 49 13688

3 50 14180

3 51 6424

